exchange,symbol,company_name,year,quarter,conference_date,date,has_transcript
NASDAQ,NVDA,NVIDIA Corporation,2026,2,2025-08-27 17:00:00,2025-08-27,YES
NASDAQ,NVDA,NVIDIA Corporation,2026,1,2025-05-28 17:00:00,2025-05-28,YES
NASDAQ,NVDA,NVIDIA Corporation,2025,4,2025-02-26 17:00:00,2025-02-26,YES
NASDAQ,NVDA,NVIDIA Corporation,2025,3,2024-11-20 17:00:00,2024-11-20,YES
NASDAQ,NVDA,NVIDIA Corporation,2025,2,2024-08-28 17:00:00,2024-08-28,YES
NASDAQ,NVDA,NVIDIA Corporation,2025,1,2024-05-22 17:00:00,2024-05-22,YES
NASDAQ,NVDA,NVIDIA Corporation,2024,4,2024-02-21 17:00:00,2024-02-21,YES
NASDAQ,NVDA,NVIDIA Corporation,2024,3,2023-11-21 17:00:00,2023-11-21,YES
NASDAQ,NVDA,NVIDIA Corporation,2024,2,2023-08-22 17:00:00,2023-08-22,YES
NASDAQ,NVDA,NVIDIA Corporation,2024,1,2023-05-24 17:00:00,2023-05-24,YES
NASDAQ,NVDA,NVIDIA Corporation,2023,4,2023-02-22 17:00:00,2023-02-22,NO
NASDAQ,NVDA,NVIDIA Corporation,2023,3,2022-11-16 17:00:00,2022-11-16,NO
NASDAQ,NVDA,NVIDIA Corporation,2023,2,2022-08-24 14:00:00,2022-08-24,NO
NASDAQ,NVDA,NVIDIA Corporation,2023,1,2022-05-25 17:00:00,2022-05-25,NO
NASDAQ,NVDA,NVIDIA Corporation,2022,4,2022-02-16 14:30:00,2022-02-16,NO
NASDAQ,NVDA,NVIDIA Corporation,2022,3,2021-11-17 14:00:00,2021-11-17,NO
NASDAQ,NVDA,NVIDIA Corporation,2022,2,2021-08-18 14:00:00,2021-08-18,NO
NASDAQ,NVDA,NVIDIA Corporation,2022,1,2021-05-26 14:00:00,2021-05-26,NO
NASDAQ,NVDA,NVIDIA Corporation,2021,4,2021-02-24 17:00:00,2021-02-24,NO
NASDAQ,NVDA,NVIDIA Corporation,2021,3,2020-11-20 17:00:00,2020-11-20,NO
NASDAQ,NVDA,NVIDIA Corporation,2021,2,2020-08-19 14:00:00,2020-08-19,NO
NASDAQ,NVDA,NVIDIA Corporation,2021,1,2020-05-21 17:30:00,2020-05-21,NO
NASDAQ,NVDA,NVIDIA Corporation,2020,4,2020-02-13 17:30:00,2020-02-13,NO
NASDAQ,NVDA,NVIDIA Corporation,2020,3,2019-11-14 17:30:00,2019-11-14,NO
NASDAQ,NVDA,NVIDIA Corporation,2020,2,2019-08-15 17:30:00,2019-08-15,NO
NASDAQ,NVDA,NVIDIA Corporation,2020,1,2019-05-16 17:30:00,2019-05-16,NO
NASDAQ,NVDA,NVIDIA Corporation,2019,4,2019-02-14 17:30:00,2019-02-14,NO
NASDAQ,NVDA,NVIDIA Corporation,2019,3,2019-11-14 17:30:00,2019-11-14,NO
NASDAQ,MSFT,Microsoft Corporation,2026,1,2025-10-29 02:30:00,2025-10-29,FUTURE
NASDAQ,MSFT,Microsoft Corporation,2025,4,2025-07-30 14:30:00,2025-07-30,YES
NASDAQ,MSFT,Microsoft Corporation,2025,3,2025-04-30 17:30:00,2025-04-30,YES
NASDAQ,MSFT,Microsoft Corporation,2025,2,2025-01-29 17:30:00,2025-01-29,YES
NASDAQ,MSFT,Microsoft Corporation,2025,1,2024-10-30 17:30:00,2024-10-30,YES
NASDAQ,MSFT,Microsoft Corporation,2024,4,2024-07-30 17:30:00,2024-07-30,YES
